sachtrongnuoc,nhom,theloai,danhsach,hinhanh,tensach,tacgia,nxb,namxb,hinhthuc,mota,giaban,giamgia,sodanhgia,sobinhchon
Sách Trong Nước,Văn học,Huyền Bí - Giả Tưởng - Kinh Dị,BIRD BOX,https://cdn0.fahasa.com/media/catalog/product/cache/1/small_image/600x600/9df78eab33525d08d6e5fb8d27136e95/b/i/bia_birdbox_2x.jpg,BIRD BOX,Josh Malerman,NXB Hà Nội,2019,Bìa Mềm,"BIRD BOX
Một tác phẩm được chuyển thể thành phim trên Netflixvới sự tham gia diễn xuất của nữ minh tinh đình đám Hollywood Sandra Bullock.
Trở thành phim lẻ thành công nhất của Netflix , hơn 80 triệu tài khoản đã xem trong vòng một tháng
Có thứ gì đó ngoài kia…
Thứ gì đó rất kinh khủng mà không ai muốn đối mặt. Chỉ một cái nhìn thoáng qua là đủ để con người bị cuốn vào cơn cuồng nộ bạo lực và chết chóc. Không ai biết nó là gì và nó đến từ đâu.
Năm năm đã trôi qua kể từ khi thảm họa bí hiểm kia bắt đầu, chỉ còn một vài người sống sót, trong đó có Malorie và hai đứa con của cô. Ẩn náu trong một căn nhà hoang gần bờ sông. Malorie nung nấu ý định chạy trốn đến một nơi an toàn hơn. Bây giờ chính là thời điểm thích hợp để hành động. Thế nhưng hành trình phía trước của Malorie đầy rẫy khó khăn: lênh đênh hai mươi dặm trên sông trong tình trạng bịt mắt, không có gì để dự dẫm ngoài đôi tai nhạy bén của hai đứa con và lòng dũng cảm của chính cô. Chỉ một quyết định sai lầm có thể dẫn đến cái chết. Thứ gì đang bám theo họ? Con người, động vật, hay quỷ dữ?
Chìm trong bóng tối, bị bao vây bởi những âm thanh quen thuộc bị bóp méo, Malorie vừa vật lộn để thích nghi với thế giới mới, vừa hồi tưởng lại kí ức đau buồn về sự ra đi của chị gái và những người bạn cùng nhà. Cô ôm lấy niềm hi vọng mà Tom – anh bạn tốt nhất của cô trong ngôi nhà cũ – đã truyền cho. Cô quyết tâm râ khỏi vùng đất an toàn và đối mặt với câu hỏi cuối cùng: Trong thế giới điên rồ này, niềm tin còn tồn tại hay không?
Đan xen giữa quá khứ và hiện tại, tác phẩm đầu tay của Josh Malerman là một kiệt tác khiến bạn không ngừng hồi hộp cho đến khi khép lại cuốn sách.",78.400 đ,-20%,(28 đánh giá),0
Sách Trong Nước,Văn học,Tuổi Teen,Tình Thư Gửi Tới Địa Đàng,https://cdn0.fahasa.com/media/catalog/product/cache/1/small_image/600x600/9df78eab33525d08d6e5fb8d27136e95/9/7/9786042100557.jpg,Tình Thư Gửi Tới Địa Đàng,Ava Dellaira,NXB Kim Đồng,2018,Bìa Mềm,"Tình Thư Gửi Tới Địa Đàng
Sau khi người chị gái thân thiết ra đi, cuộc sống của Laurel và cả gia đình đã hoàn toàn đảo lộn. Bố mẹ li thân, Laurel phải chuyển đến một ngôi trường trung học xa nhà để rời bỏ những kí ức cũ. ""Ai cũng thu mình lại trên một ốc đảo riêng"" - dường như có một khoảng cách vô hình giữa chính những người thân trong gia đình, và họ không thể san sẻ với nhau, ngay cả những nỗi đau chung...
Vốn là một bài tập bắt buộc của môn Ngữ Văn - Hãy viết thư cho một người đã khuất, Laurel quyết định viết thư cho không chỉ một mà nhiều người, hầu hết họ đều là những người nổi tiếng và có ít nhiều liên quan đến những kỉ niệm của gia đình cô. Những lá thư gửi đến thiên đường đã mở ra cho Laurel một cánh cửa mới để nhìn cuộc sống, mang đến những người bạn để sẻ chia, cùng cơ hội tìm hiểu những sự thật từng bị ẩn giấu...
Liệu điều gì đang đợi cô ở phía cuối con đường?",78.300 đ,-13%,(14 đánh giá),0
Sách Trong Nước,Văn học,Tiểu thuyết,Con Chim Xanh Biếc Bay Về - Tặng Kèm 6 Postcard,https://cdn0.fahasa.com/media/catalog/product/cache/1/small_image/600x600/9df78eab33525d08d6e5fb8d27136e95/b/i/biamem.jpg,Con Chim Xanh Biếc Bay Về - Tặng Kèm 6 Postcard,Nguyễn Nhật Ánh,NXB Trẻ,2020,Bìa Mềm,"Con Chim Xanh Biếc Bay Về
Không giống như những tác phẩm trước đây lấy bối cảnh vùng quê miền Trung đầy ắp những hoài niệm tuổi thơ dung dị, trong trẻo với các nhân vật ở độ tuổi dậy thì, trong quyển sách mới lần này nhà văn Nguyễn Nhật Ánh lấy bối cảnh chính là Sài Gòn – Thành phố Hồ Chí Minh nơi tác giả sinh sống (như là một sự đền đáp ân tình với mảnh đất miền Nam). Các nhân vật chính trong truyện cũng “lớn” hơn, với những câu chuyện mưu sinh lập nghiệp lắm gian nan thử thách của các sinh viên trẻ đầy hoài bão. Tất nhiên không thể thiếu những câu chuyện tình cảm động, kịch tính và bất ngờ khiến bạn đọc ngẩn ngơ, cười ra nước mắt. Và như trong mọi tác phẩm Nguyễn Nhật Ánh, sự tử tế và tinh thần hướng thượng vẫn là điểm nhấn quan trọng trong quyển sách mới này.
Như một cuốn phim “trinh thám tình yêu”, Con chim xanh biếc bay về dẫn bạn đi hết từ bất ngờ này đến tò mò suy đoán khác, để kết thúc bằng một nỗi hân hoan vô bờ sau bao phen hồi hộp nghi kỵ đến khó thở.
Bạn sẽ theo phe sinh viên-nhân viên với những câu thơ dịu dàng và đáo để, hay phe ông chủ với những kỹ năng kinh doanh khởi nghiệp? Và hãy đoán thử, điều gì khiến bạn có thể cảm động đến rưng rưng trong cuộc sống giữa Sài Gòn bộn bề?
Lâu lắm mới có hình ảnh thành phố rộn ràng trong tác phẩm của Nguyễn Nhật Ánh - điều hấp dẫn khác thường của Con chim xanh biếc bay về.
Chính vì thế mà cuốn sách chỉ có một cách đọc thôi: một mạch từ đầu đến cuối!",112.500 đ,-25%,(7 đánh giá),29534
Sách Trong Nước,Văn học,Tác Phẩm Kinh Điển,Heidi - Bìa Cứng,https://cdn0.fahasa.com/media/catalog/product/cache/1/small_image/600x600/9df78eab33525d08d6e5fb8d27136e95/i/m/image_195509_1_40336.jpg,Heidi - Bìa Cứng,"Johanna Spyri, Elena Selivanova",NXB Văn Học,2020,Bìa Cứng,"Vì vội vã đi kiếm việc làm mới, người dì ích kỉ đã gửi Heidi đến cho ông nội của cô bé, đang sống cô độc trên vùng núi Alm. Ai cũng ái ngại cho Heidi khi phải sống với ông già lập dị và cục cằn ấy. Nhưng ai ngờ được rằng, Heidi bé bỏng với tấm lòng nhân hậu tự nhiên, chẳng những giúp ông nội tìm lại lòng yêu cuộc sống, mà còn mang đến bao đổi thay kì diệu. Những ai từng gặp Heidi, dù ở Dörfli hay Frankfurt, đều muốn cô bé mãi mãi ở bên mình. Nhưng tất cả đều hiểu, chỉ ở giữa cánh đồng hoa rực rỡ, thung lũng mênh mông và ráng chiều rực đỏ trên những ngọn núi thanh tĩnh ngàn đời của dãy Alm, Heidi mới thực sự hạnh phúc để tặng niềm vui cho mọi người.

Ra đời cách đây 140 năm, Heidi của nữ nhà văn Johanna Spyri được coi là một tác phẩm kinh điển dành cho thiếu nhi. Với văn phong giản dị, trong sáng, tác phẩm này đem đến cho người đọc những bức tranh thiên nhiên thơ mộng, hùng vĩ của đất nước Thụy Sĩ, cùng những điều bí ẩn của tạo vật và tâm hồn con trẻ. Heidi đã nhiều lần được chuyển thể thành phim điện ảnh, phim truyền hình, kịch bản sân khấu và anime.

Cuốn sách kinh điển của Johanna Spyri đã được Đông A xuất bản với bản dịch được yêu thích của dịch giả Thanh Vân, minh họa của Elena Selivanova. Sách in màu, bìa cứng, có bìa áo.

Thông tin tác giả: Johanna Spyri (1927 - 1901)

Johanna Spyri sinh ngày 12 tháng 6 năm 1827 tại Hirzel, một vùng quê hẻo lánh của Thụy Sĩ. Sau khi kết hôn và chuyển đến sống với chồng ở Zürich, bà bắt đầu viết văn. Tình yêu với trẻ thơ và vùng thôn dã đã mang đến nhiều chất liệu cho các sáng tác của bà, trong đó Heidi là tác phẩm thành công nhất, ra đời năm 1890.

Suốt từ đó đến nay, câu chuyện về cô bé mồ côi đáng yêu Heidi vẫn được độc giả khắp thế giới yêu thích bởi những mô tả tinh tế tuyệt vời về cảm xúc của trẻ em và những bức tranh thiên nhiên tươi đẹp của đất nước Thụy Sĩ. Năm 1884, người chồng và con trai của Johanna Spyri đều qua đời. Từ đó bà tập trung vào các hoạt động từ thiện và viết thêm nhiều tác phẩm nữa.

Johanna Spyri mất năm 1901. Chân dung của của bà đã được in trên tem và đồng xu tưởng niệm tại Thụy Sĩ.",204.000 đ,-15%,(4 đánh giá),0
Sách Trong Nước,Văn học,12 Cung Hoàng Đạo,Huyền Thoại Pháp Sư - 12 Chòm Sao (Tập 3) - Tái Bản 2020,https://cdn0.fahasa.com/media/catalog/product/cache/1/small_image/600x600/9df78eab33525d08d6e5fb8d27136e95/h/u/huyenthoaiphapsu12chomsao-cover_2.jpg,Huyền Thoại Pháp Sư - 12 Chòm Sao (Tập 3) - Tái Bản 2020,Thor Aesir,NXB Thế Giới,2020,Bìa Mềm,"Huyền Thoại Pháp Sư - 12 Chòm Sao (Tập 3)
Huyền thoại pháp sư 12 chòm sao - loạt truyện nổi tiếng và hấp dẫn nhất về các cung Hoàng đạo của tác giả Thor Aesir đã trở lại, với phần tiếp theo là cuộc hành trình gian nan của các nhân vật trên đường đi vào Cõi Mộng.
Trước tình hình ngày càng căng thẳng, toàn cõi tam giới bắt đầu bước vào thời kì giằng co, ánh sáng và bóng tối lập lòe đan xen, cuồn cuộn trộn lẫn.
Ở phần trước, đoàn chiến binh mang hy vọng cuối cùng của nhân loại đã tiến vào đấu trường Byon, chấp nhận đối mặt với những thử thách khó khăn, không hề nghi ngờ mà tiến về phía trước.
Thiên Yết vẫn đang tiếp tục thu thập những mảnh vỡ linh hồn của mặt trăng, hướng đến mục đích cuối cùng là phá hủy phong ấn mà nữ thần Aeon dùng để vá bức màn của Cõi Mộng, giải thoát Chúa Quỷ Cổ thần, để bóng tối trỗi dậy, hủy diệt thế giới này. Không một ai có thể cản bước chân cùng lòng hận thù cao ngất của nàng.
“Đấu trường này chính là hy vọng cuối cùng của chúng ta!”
Lời nói tựa như sấm truyền của Đại tướng quân Ma Kết mang đến một tia hy vọng le lói.
Những âm mưu trong sáng ngoài tối dần dần hiện rõ.
Bóng tối bắt đầu nâng lên những ngọn giáo chinh phạt.
Mười hai pháp sư, mười hai chòm sao của chúng ta bước trên con đường định mệnh.
Từ khắp chân trời góc bể, lại cùng hướng về một phương, càng ngày lại càng đến gần mục tiêu duy nhất.
Tương lai nào đang chờ đợi ở phía trước?
Là ánh sáng trở lại? Hay là bóng tối vĩnh viễn...",78.400 đ,-20%,(0 đánh giá),0
Sách Trong Nước,Văn học,Du Ký,Lang Thang Phố Thị 4 - Bước Chậm Bên Dòng Hương Giang,https://cdn0.fahasa.com/media/catalog/product/cache/1/small_image/600x600/9df78eab33525d08d6e5fb8d27136e95/i/m/image_195509_1_43083.jpg,Lang Thang Phố Thị 4 - Bước Chậm Bên Dòng Hương Giang,NXB Thông Tấn,NXB Thông Tấn,2020,Bìa Cứng,"Lang Thang Phố Thị 4 - Bước Chậm Bên Dòng Hương Giang

“Nơi chốn” của nhân loại đang có xu hướng đồng nhất, toàn cầu hóa với mọi chuyện, Huế không thể đứng ngoài xu hướng này, hòa vào dòng chảy của thế giới, nhưng vẫn giữ cho mình bản sắc, truyền thống và vẻ đẹp đôi chút riêng tư...

Những ngôi chùa có lịch sử cuốn hút, những nhà thờ đi vào văn học, Kinh thành Ngôi sao tuyệt mỹ, những lăng mộ, đền, am, nghĩa trang, tín ngưỡng của người dân Huế; những thắng cảnh đẹp như tranh vẽ của sông Hương, của đồi núi, của biển cả, đầm phá, những lễ hội, văn hóa, ẩm thực dân gian và cung đình, cuộc sống của người dân xứ Huế đã cho tôi cảm xúc để lang thang tìm hiểu...

Một lần nữa, xin làm người hát rong để kể lại, ký họa lại những gì mình nhìn thấy và nghe thấy...

Kts. Nguyễn Ngọc Dũng",323.000 đ,-15%,(0 đánh giá),0
Sách Trong Nước,Văn học,Tác giả - Tác Phẩm,Hà Nội Băm Sáu Phố Phường - Danh Tác (Tái Bản 2019),https://cdn0.fahasa.com/media/catalog/product/cache/1/small_image/600x600/9df78eab33525d08d6e5fb8d27136e95/i/m/image_184583.jpg,Hà Nội Băm Sáu Phố Phường - Danh Tác (Tái Bản 2019),Thạch Lam,NXB Hội Nhà Văn,2019,Bìa Mềm,"“Có ai buổi trưa vắng hay buổi đêm khuya, đi qua các nhà cô đào, và các chị em thanh lâu, thấy họ ăn cái quà ấy một cách chăm chú và tha thiết đến đâu không? Nước ốc chua làm nhăn các nét mặt tàn phấn và mệt lả, miếng ớt cay làm xoa xuýt những cặp môi héo hắt, và khiến đôi khi rỏ những giọt lệ thật thà hơn cả những giọt lệ tình.

Cô hàng ốc có một cái dụng cụ, một đầu là búa, một đầu là dùi nhọn. Một cái gõ nhẹ, và một cái trở tay, là con ốc nguyên cả ruột đã gọn gàng rơi mình vào bát nước. Cô thoăn thoắt rút ốc không kịp, trông thấy người ta ăn ngon lành, chính cô cũng sinh thèm.”",42.500 đ,-15%,(5 đánh giá),0
Sách Trong Nước,Văn học,Tuổi Teen,Ngũ Quái Sài Gòn 18 - Bí Mật Động Thiên Cung,https://cdn0.fahasa.com/media/catalog/product/cache/1/small_image/600x600/9df78eab33525d08d6e5fb8d27136e95/8/9/8934974156390.jpg,Ngũ Quái Sài Gòn 18 - Bí Mật Động Thiên Cung,Bùi Chí Vinh,NXB Trẻ,2018,Bìa Mềm,"Ngũ Quái Sài Gòn - Tập 18: Bí Mật Động Thiên Cung
Nhóm thiếu niên dũng cảm tiếp tục hành hiệp trượng nghĩa, ra tay phá thêm 2 vụ án với nhiều tình tiết ly kì bì ẩn và không kém hiểm nguy. Tập 18 gồn 2 vụ án: Bí mật động thiên cung và Cơn ác mộng kim cương
Ngũ quái Sài Gòn là bộ sách khá nổi tiếng của tác giả Bùi Chí Vinh đã ra đời cách đây 20 năm. Vào thời điểm ra mắt, bộ sách đã được bạn đọc đón nhận nồng nhiệt và đã được chuyển thể thành phim truyền hình 15 tập. Sách và phim đều xoay quanh những vụ án và diễn biến phức tạp của bọn tội phạm đa phần là những thanh thiếu niên sống lang thang và thiếu sự giáo dục của xã hội và gia đình. Trước hiện thực đó, một nhóm 5 thiếu niên đã thành lập nhóm ngũ quái, và bằng những kĩ năng khác nhau, họ âm thầm giúp lực lượng cảnh sát chống phá những băng nhóm tội phạm nguy hiểm. Không sợ nguy hiểm, hành động với mục đích mang lại hòa bình và trật tự cho thành phố là phương châm của nhóm.",42.500 đ,-15%,(0 đánh giá),0
Sách Trong Nước,Văn học,"Thơ ca, tục ngữ, ca dao, thành ngữ",Thơ Hàn Mặc Tử - Văn Học Trong Nhà Trường,https://cdn0.fahasa.com/media/catalog/product/cache/1/small_image/600x600/9df78eab33525d08d6e5fb8d27136e95/i/m/image_244284.jpg,Thơ Hàn Mặc Tử - Văn Học Trong Nhà Trường,Hàn Mặc Tử,NXB Kim Đồng,2021,Bìa Mềm,"“Trong khoảng trên dưới một chục năm hoạt động trong thi đàn, Hàn Mặc Tử đã từ cổ điển,

lãng mạn, tiến nhanh sang tượng trưng, siêu thực, góp một phần quan trọng vào quá trình hiện đại hóa thi ca Việt Nam. Điều đáng kể nhất là ở loại hình nào, phạm trù nào, Hàn Mặc Tử cũng là trụ cột.” - Giáo sư PHAN CỰ ĐỆ

“Hàn Mặc Tử được sinh ra cho thơ. Sinh thời, Hàn đã sống bằng thơ. Bây giờ và mai sau Hàn vẫn sống bằng thơ. Bởi vì Hàn đã chết cho mỗi lời thơ. Đó là bài học về thơ đắt giá và sáng giá nhất của muôn đời.” - Nhà phê bình văn học CHU VĂN SƠN

“Thơ Hàn Mặc Tử đi từ trong sáng đến đau thương, bay lên thượng tầng đớn đau chết chóc,

rồi trở lại những tinh khiết ban đầu như chưa bao giờ bợn gợn những vật vã kinh hoàng trần thế. Thơ đi cùng Hàn từ thơ ấu đến dậy thì, thành niên với những say mê đắm đuối, rồi thơ mắc bạo bệnh về cõi chết cùng Hàn. Nhưng ở những giây phút khắc nghiệt nhất, hoang loạn nhất, vẫn có hai Hàn, hai thơ: một Hàn của mộng đẹp khi cơn đau lắng xuống và một Hàn của mộng dữ khi cơn đau dấy lên cực điểm. Một Hàn thổ huyết và một Hàn trở lại bình an sau mỗi sóng bão phong ba.” - Nhà phê bình văn học THỤY KHUÊ -

Nhằm giúp các bạn học sinh có một nền tảng kiến thức văn học phong phú, vững vàng, Nhà xuất bản Kim Đồng tổ chức biên soạn bộ sách Tủ sách Văn học trong nhà trường.

Bộ sách sẽ lần lượt giới thiệu tác phẩm của các tác giả thuộc nhiều trào lưu, thể loại, thời kì...

Ngoài giá trị tư liệu học tập, hi vọng bộ sách còn giúp bồi dưỡng thêm tình yêu văn học, khích lệ tư duy sáng tạo giúp người đọc có được cho mình những nhận định khách quan và hợp lí.



Mời các bạn tìm đọc TỦ SÁCH VĂN HỌC TRONG NHÀ TRƯỜNG:

• TRUYỆN KIỀU

• TRUYỆN NGẮN NAM CAO

• GIÓ LẠNH ĐẦU MÙA

• SỐ ĐỎ

• HÀ NỘI BĂM SÁU PHỐ PHƯỜNG

• TRUYỆN NGẮN NGUYỄN CÔNG HOAN

• THƠ HỒ XUÂN HƯƠNG

• THƠ NGUYỄN BÍNH

• THƠ XUÂN QUỲNH

• THƠ NGUYỄN KHUYẾN

• NGUYỄN HUY TƯỞNG - KỊCH VÀ VĂN

• CON CHIM XANH

• LÃO HÀ TIỆN

• TRƯỞNG GIẢ HỌC LÀM SANG

• NHẬT KÝ TRONG TÙ

• TRUYỆN TÂY BẮC

• TRUYỆN NGẮN LỖ TẤN

• HỒN TRƯƠNG BA DA HÀNG THỊT - TÔI VÀ CHÚNG TA

• THƠ HÀN MẶC TỬ",45.600 đ,-5%,(0 đánh giá),0
Sách Trong Nước,Văn học,Light Novel,Ma Vương Kiến Tạo - Hầm Ngục Kiên Cố Nhất Chính Là Thành Phố Hiện Đại - Tập 7 - Bản Đặc Biệt - Tặng Kèm Bookmark + 3 Postcard Holo,https://cdn0.fahasa.com/media/catalog/product/cache/1/small_image/600x600/9df78eab33525d08d6e5fb8d27136e95/m/v/mvkt2407.jpg,Ma Vương Kiến Tạo - Hầm Ngục Kiên Cố Nhất Chính Là Thành Phố Hiện Đại - Tập 7 - Bản Đặc Biệt - Tặng Kèm Bookmark + 3 Postcard Holo,Rui Tsukiyo,NXB Thế Giới,2021,Bìa Mềm,"Trong tập trước, Ma Vương {Sáng tạo} Procel đã giải cứu thành công Ma Vương {Phong} Stolas và giành chiến thắng.
Tiếp đó, cậu sẽ bước vào một cuộc chiến đầy khốc liệt với kẻ chủ mưu trong cuộc tấn công Stolas – Ma Vương {Hắc} Balam. Ma Vương {Hắc} gây sức ép lên Procel bằng cách sử dụng triệt để mọi mánh khóe trong cả Tôn Giáo và Ngoại Giao. Vừa tìm cách để đối phó với việc này, Procel vừa tiếp tục xây dựng thành phố của mình trở nên giàu có và thịnh vượng hơn – tất cả là để hướng tới trận chiến toàn lực cuối cùng với Cựu Ma Vương.
Đây là câu chuyện về một Ma Vương kỳ lạ - tốt bụng và đầy lòng nhân từ với đồng minh nhưng lại không kém phần tàn nhẫn với kẻ thù.",139.000 đ,null,(0 đánh giá),29421
Sách Trong Nước,Văn học,Tác giả - Tác Phẩm,Danh Tác Việt Nam - Chí Phèo (Tái Bản),https://cdn0.fahasa.com/media/catalog/product/cache/1/small_image/600x600/9df78eab33525d08d6e5fb8d27136e95/i/m/image_190025.jpg,Danh Tác Việt Nam - Chí Phèo (Tái Bản),Nam Cao,NXB Văn Học,2018,Bìa Mềm,"Chí Phèo - tập truyện ngắn tái hiện bức tranh chân thực nông thôn Việt Nam trước 1945, nghèo đói, xơ xác trên con đường phá sản, bần cùng, hết sức thê thảm, người nông dân bị đẩy vào con đường tha hóa, lưu manh hóa. Nam Cao không hề bôi nhọ người nông dân, trái lại nhà văn đi sâu vào nội tâm nhân vật để khẳng định nhân phẩm và bản chất lương thiện ngay cả khi bị vùi dập, cướp mất cà nhân hình, nhân tính của người nông dân, đồng thời kết án đanh thép cái xã hội tàn bạo đó trước 1945.

Những sáng tác của Nam Cao ngoài giá trị hiện thực sâu sắc, các tác phẩm đi sâu vào nội tâm nhân vật, để lại những cảm xúc sâu lắng trong lòng người đọc.",49.140 đ,-37%,(4 đánh giá),0
Sách Trong Nước,Văn học,"Thơ ca, tục ngữ, ca dao, thành ngữ",Tục Ngữ Ca Dao Việt Nam,https://cdn0.fahasa.com/media/catalog/product/cache/1/small_image/600x600/9df78eab33525d08d6e5fb8d27136e95/i/m/image_79917.jpg,Tục Ngữ Ca Dao Việt Nam,Vân Anh,NXB Văn Học,15-Oct,Bìa Mềm,"Tục Ngữ Ca Dao Việt Nam

Kho tàng tục ngữ cao dao Việt Nam luôn là cái nôi gửi gắm bao điều hay lẽ phải của ông cha ta đối với thế hệ sau này. Tục ngữ ca dao miểu tả những phong tục tập quán và nết ăn ở của ông cha ta qua lời ăn tiếng nói bằng nhịp điệu, những vần thơ khắc họa tình tình còn người,khơi dậy trong con người tình cảm lứa đôi,tình yêu gia đình và đặc biệt là tình yêu quê hương đất nước.
Với ngôn ngữ mộc mạc, rất đời thường nhưng tô điểm rất đậm nét các vấn đề xã hội được thể hiện qua sự truyền miệng, xuất hiện nhiều dị bản khác nhau, nhưng  ca dao tục ngữ vẫn không mất ý nghĩa vốn có của nó
Cuốn Tục ngữ ca dao Việt Nam được biên soạn dựa trên những mảng đề tài chính:
- Tục ngữ về thiên nhiên, đất nước và con người
- Tục ngữ ca dao về tình yêu đôi lứa, hôn nhân và tình cảm
- Tục ngữ ca dao thời kỳ phong kiến",31.200 đ,-22%,(0 đánh giá),0
Sách Trong Nước,Văn học,Tác Phẩm Kinh Điển,Olivia,https://cdn0.fahasa.com/media/catalog/product/cache/1/small_image/600x600/9df78eab33525d08d6e5fb8d27136e95/i/m/image_236472.jpg,Olivia,Dorothy Strachey,NXB Kim Đồng,2021,Bìa Mềm,"“Vậy ra đó là kết cục của ái tình. Tổn thương và bị tổn thương...” 

Olivia là một thiếu nữ Anh Quốc với tâm hồn nhạy cảm, rung động sâu sắc trước nghệ thuật, và đặc biệt giàu cảm xúc. Cuộc đời mang đến cho cô đầy hứa hẹn ở tuổi trăng tròn khi cô được gia đình gửi tới một ngôi trường nữ sinh thượng lưu ở Pháp. Song nơi lẽ ra phải là vườn địa đàng màu mỡ này lại trở thành đại dương đầy sóng gió với tâm hồn non trẻ kia, khi từng ngày trôi qua, cảm xúc kì lạ của Olivia đối với cô giáo Julie xinh đẹp và cuốn hút ngày một lớn dần và đậm sâu. Nhưng đời tư của Julie lại không đơn giản như Olivia những tưởng. Khi mối quan hệ giữa hai người ngày càng thân mật, vòng xoáy của âm mưu và giông bão ngấm ngầm ẩn dưới vẻ ngoài xinh đẹp của mọi sự vật và con người nơi đây. Năm học ấy dường như đã được định sẵn là sẽ kết thúc trong bi kịch.

“Tôi từng nghĩ rằng một ngày nào đó mình sẽ viết một cuốn tiểu thuyết như OLIVIA. Tôi sẽ đặt tên nó là gì nhỉ? Cái tựa sách dường như rất hiển nhiên vào thời điểm ấy. Tôi sẽ gọi nó là ‘Oliver’. Nhưng rồi tôi nghĩ lại và gọi cuốn sách ấy bằng một cái tên khác. … Tôi đã đọc OLIVIA rất, rất nhiều lần, mua cuốn sách này cho vô số bạn bè, và coi nó như nguồn cảm hứng cho CALL ME BY YOUR NAME.” - ANDRÉ ACIMAN

“Một kiệt tác nho nhỏ.” - ANDRÉ GIDE

“Một cái nhìn thoáng qua tuyệt đẹp về ngọn lửa mong manh của tình yêu… OLIVIA là một tuyệt tác vào thời điểm cuốn sách được viết nên gần 100 năm trước, và tới ngày nay vẫn vậy. OLIVIA không chỉ vững vàng trước thách thức của thời gian, mà nhờ việc tinh tế chú tâm tới ngôn ngữ, cảm xúc, nhờ quyết tâm hết mình ươm mầm những xúc cảm và khát khao nơi người đọc, cuốn sách dễ dàng vượt lên trên nhiều câu chuyện tích cực hơn tiêu biểu cho văn học đồng tính hiện đại.” - POPMATTERS

DOROTHY STRACHEY (1865 - 1960) còn được biết đến dưới tên Dorothy Bussy, là một thành viên xuất chúng của Nhóm Bloomsbury và là chị gái của nhà văn Lytton Strachey. Bà cũng là một người bạn thân thiết của nhà văn André Gide, và đã dịch các tác phẩm của ông sang tiếng Anh. Dorothy kết hôn với hoạ sĩ Simon Bussy vào năm 1903. Cáo phó của bà trên tờ Times (London) miêu tả bà là “một con người duyên dáng, dí dỏm, vui tính và vui vẻ”.

Olivia là tiểu thuyết duy nhất của Dorothy Strachey, hầu như được viết dựa trên trải nghiệm của chính bà trong trường nội trú ở Pháp. Bà sử dụng chính bút danh “Olivia” trong lần xuất bản đầu tiên của tác phẩm này vào năm 1949. Dorothy Strachey đề tặng Olivia cho nhà văn Virginia Woolf.

---

Một ấn phẩm của WINGS BOOKS - Thương hiệu sách trẻ của NXB Kim Đồng.",47.500 đ,-5%,(0 đánh giá),0
Sách Trong Nước,Văn học,Huyền Bí - Giả Tưởng - Kinh Dị,Lâu Đài Bay Của Pháp Sư Howl (Tái Bản 2019),https://cdn0.fahasa.com/media/catalog/product/cache/1/small_image/600x600/9df78eab33525d08d6e5fb8d27136e95/i/m/image_195509_1_33740.jpg,Lâu Đài Bay Của Pháp Sư Howl (Tái Bản 2019),Diana Wynne Jones,NXB Hội Nhà Văn,2019,Bìa Mềm,"Cô gái Sophie Hatter đang sống và làm việc yên ổn trong cửa hiệu bán mũ của bố mẹ ở Ingary, xứ sở của những đôi ủng bảy lý và áo tàng hình thì bỗng một ngày, mụ phù thuỷ xứ Waste xuất hiện biến cô thành bà già xấu xí. Quyết tâm giải cứu bản thân mình, Sophie đi tới lâu đài bay tìm kiếm sự giúp đỡ của Pháp sư Howl - kẻ vốn bị đồn là khoái “ăn tươi nuốt sống” trái tim của những cô gái trẻ.

“…Sophie ngậm ngón tay bị bỏng nhẹ và lấy tay kia nhặt những lát thịt ba chỉ xông khói rơi trên váy, mắt chằm chằm nhìn Calcifer. Lão đang quật từ bên này sang bên kia lò sưởi. Những bộ mặt xanh lơ của lão gần như trắng bệch. Trong khoảnh khắc, lão có vô số những con mắt da cam, rồi khoảnh khắc sau đó đã có hàng dãy những con mắt bạc sáng như sao. Cô chưa bao giờ hình dung ra cái gì giống như thế.

Có cái gì đó quét qua trên đầu với một phát nổ và tiếng đùng làm rung chuyển mọi thứ trong phòng. Một cái gì đó thứ hai theo sau, với tiếng rống dài chói tai. Calcifer rung lên gần như xanh đen, và da Sophie xèo xèo vì tàn lửa từ phép thần thông đó…”",90.100 đ,-15%,(26 đánh giá),29392
